#monsterdrop_test1			
TechLevel	ContentIds	Weight	Points
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	100	250
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	80	750
#end			
			
#monsterdrop_crtutorial2			
TechLevel	ContentIds	Weight	Points
	cresist_free_worker_man cresist_free_worker_woman cresist_free_worker_woman	60	50
	cresist_free_worker_man cresist_free_worker_woman woman_lowskills_worker_cresist	60	50
	man_worker_cresist woman_worker_cresist cresist_free_worker_man	60	50
	cresist_free_worker_woman cresist_soldier_man man_medic_cres woman_medic_cres	30	60
	cresist_free_worker_woman man_worker_cresist woman_worker_cresist man_medic_cres woman_medic_cres	30	60
	woman_medic_cres man_worker_cresist woman_lowskills_worker_cresist	30	60
	woman_lowskills_worker_cresist cresist_soldier_man cresist_soldier_woman	15	80
	woman_worker_cresist cresist_free_worker_man cresist_free_worker_woman security_man_cres security_woman_cres	15	80
	woman_medic_cres security_man_cres security_woman_cres	15	80
	cresist_soldier_woman security_man_cres security_woman_cres security_woman_cres	10	100
	security_woman_cres man_worker_cresist woman_lowskills_worker_cresist man_worker_cresist woman_worker_cresist	10	100
	security_man_cres security_woman_cres security_man_cres security_woman_cres	10	100
#end			
			
#monsterdrop_ComAndAnarchy1			
TechLevel	ContentIds	Weight	Points
	realware_milita_man realware_milita_woman security_man_rw	60	30
	man_medic_rw realware_milita_man realware_milita_woman	60	30
	realware_milita_man realware_milita_woman security_man_rw security_woman_rw	60	30
	realware_warrobot realware_milita_man realware_milita_woman realware_milita_woman	30	40
	realware_milita_man realware_milita_woman man_medic_rw security_man_rw security_woman_rw	30	40
	heavy_security_man_rw heavy_security_woman_rw mercury_force_woman	30	40
	realware_warrobot heavy_security_woman_rw security_man_rw	10	60
	realware_elite_man security_man_rw security_woman_rw security_woman_rw	10	60
#end			
			
#monsterdrop_ComAndAnarchy2			
TechLevel	ContentIds	Weight	Points
	possesed_elite_azt_man possesed_elite_azt_woman possesed_azt_man possesed_azt_woman	60	20
	venus_eagle_knight possesed_centaur possesed_centaur	60	20
	possesed_BigArm venus_custodian venus_custodian	60	20
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	30	30
	venus_jaguar_knight venus_demon_cat venus_demon_cat possesed_centaur	30	30
	possesed_BlobMan possesed_BlobMan possesed_BlobMan possesed_BlobMan	30	30
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	20	30
	venus_demon_warrior venus_eagle_knight venus_eagle_knight	20	30
	venus_taskmaster venus_custodian venus_taskmaster venus_custodian	20	30
	venus_demon_warrior venus_demon_warrior venus_demon_warrior	10	40
#end			
			
#monsterdrop_ManifestoElites			
TechLevel	ContentIds	Weight	Points
	sbn_elite_man heavy_security_man_sbn heavy_security_woman_sbn security_man_sbn security_woman_sbn	60	20
	sbn_elite_woman sbn_elite_man sbn_elite_woman sbn_elite_man security_man_sbn	60	20
	sbn_elite_man sbn_elite_man sbn_elite_woman sbn_elite_man sbn_elite_man sbn_elite_woman	60	20
#end			
			
#monsterdrop_ManifestoPmc			
TechLevel	ContentIds	Weight	Points
	pmc_man_soldier pmc_man_soldier pmc_woman_soldier pmc_woman_soldier mercury_force_woman	60	20
	pmc_heavy_man pmc_heavy_man pmc_heavy_woman pmc_man_soldier pmc_man_soldier	60	20
	pmc_heavy_woman pmc_heavy_woman pmc_heavy_man pmc_heavy_man pmc_woman_soldier	60	20
	pmc_woman_soldier pmc_woman_soldier pmc_man_soldier pmc_man_soldier pmc_heavy_man	60	20
	pmc_heavy_woman pmc_heavy_woman pmc_heavy_man mercury_force_man	60	20
	pmc_heavy_woman pmc_man_soldier pmc_man_soldier pmc_woman_soldier	60	20
	pmc_woman_soldier pmc_heavy_man pmc_heavy_man ghost_force_man	60	20
	pmc_heavy_woman pmc_man_soldier pmc_man_soldier ghost_force_woman	60	20
#end			
			
#monsterdrop_ManifestoDefence			
TechLevel	ContentIds	Weight	Points
	sbn_geishabot sbn_elite_woman sbn_elite_woman sbn_officer_woman sbn_officer_man	60	20
	sbn_mirmidon_man sbn_elite_man sbn_officer_man pmc_man_soldier	60	20
	sbn_mirmidon_woman sbn_elite_woman sbn_officer_man pmc_heavy_woman	60	20
#end			
			
#monsterdrop_GhoulshipRegular			
TechLevel	ContentIds	Weight	Points
	stationary_turret man_medic_core security_man_cw security_woman_cw	60	20
	man_medic_core woman_medic_core core_heavy_miner_man core_heavy_miner_woman	60	20
	stationary_turret security_man_cw man_worker_core woman_worker_core	60	20
	heavy_security_man_cw heavy_security_woman_cw core_heavy_miner_man core_heavy_miner_woman	60	20
	stationary_turret heavy_security_man_cw heavy_security_woman_cw	60	20
	heavy_security_man_cw heavy_security_woman_cw mercury_force_woman	60	20
	stationary_turret man_worker_core security_woman_cw man_medic_core	60	20
	fire_turret security_man_cw heavy_security_woman_cw core_heavy_miner_man core_heavy_miner_woman	60	20
	mercury_force_man security_woman_cw man_medic_core	60	20
	mercury_force_man mercury_force_woman security_woman_cw	60	20
	security_woman_cw man_medic_core mercury_force_woman mercury_force_man	60	20
#end			
			
#monsterdrop_GhoulShipPirates			
TechLevel	ContentIds	Weight	Points
	pirate_manager_man pirate_manager_woman pirate_medic_man pirate_medic_woman pirate_security_man pirate_security_woman	60	20
	pirate_pmc_man pirate_pmc_woman pirate_heavy_security_man pirate_heavy_security_woman	60	20
	pirate_pmc_heavy_man pirate_pmc_heavy_woman pirate_security_man pirate_security_woman	60	20
	pirate_manager_man pirate_manager_woman pirate_medic_man pirate_medic_woman	60	20
	pirate_pmc_heavy_man pirate_pmc_heavy_woman pirate_medic_man pirate_medic_woman	60	20
#end			
			
#monsterdrop_GhoulShipDilthey			
TechLevel	ContentIds	Weight	Points
	dilthey_medic_man dilthey_medic_woman dilthey_security_man dilthey_security_woman dilthey_pmc_man dilthey_pmc_woman dilthey_warrorbot	60	20
	dilthey_elite_man dilthey_elite_woman dilthey_heavy_pmc_man dilthey_heavy_pmc_woman dilthey_warrorbot	60	20
	dilthey_heavy_security_man dilthey_heavy_security_woman dilthey_warrorbot dilthey_pmc_man dilthey_pmc_woman	70	20
#end			
			
#monsterdrop_PoisonTrial			
TechLevel	ContentIds	Weight	Points
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	60	20
	venus_taskmaster venus_custodian venus_taskmaster venus_custodian	60	20
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	60	20
	venus_demon_warrior venus_eagle_knight venus_eagle_knight	60	20
	venus_taskmaster venus_custodian venus_taskmaster venus_custodian	60	20
#end			
			
#monsterdrop_CoverOps			
TechLevel	ContentIds	Weight	Points
	ancom_elite_man ancom_elite_woman ancom_elite_man ancom_elite_woman	60	20
	stationary_turret cyborg_basic ancom_elite_man	60	20
	stationary_turret stationary_turret cyborg_basic ancom_elite_man	60	20
	fire_turret fire_turret heavy_security_man_ancom	60	20
	ancom_elite_man ancom_elite_woman ancom_elite_man ancom_elite_woman	60	20
	heavy_security_woman_ancom pmc_man_soldier pmc_woman_soldier	60	20
	man_professor woman_professor ancom_elite_man ancom_elite_woman cyborg_battle	60	20
	cyborg_basic cyborg_basic cyborg_battle pmc_man_soldier pmc_woman_soldier	60	20
	ancom_elite_man ancom_elite_woman ancom_elite_man ancom_elite_woman energy_turret	60	20
	stationary_turret energy_turret woman_professor pmc_man_soldier	60	20
