#monsterdrop_test1				
TechLevel	ContentIds	Weight	Points	
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	100	250	
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	80	750	
#end				
				
#monsterdrop_crtutorial2				
TechLevel	ContentIds	Weight	Points	
	cresist_free_worker_man cresist_free_worker_woman cresist_free_worker_woman	60	50	
	cresist_free_worker_man cresist_free_worker_woman woman_lowskills_worker_cresist	60	50	
	man_worker_cresist woman_worker_cresist cresist_free_worker_man	60	50	
	cresist_free_worker_woman cresist_soldier_man man_medic_cres woman_medic_cres	30	60	
	cresist_free_worker_woman man_worker_cresist woman_worker_cresist man_medic_cres woman_medic_cres	30	60	
	woman_medic_cres man_worker_cresist woman_lowskills_worker_cresist	30	60	
	woman_lowskills_worker_cresist cresist_soldier_man cresist_soldier_woman	15	80	
	woman_worker_cresist cresist_free_worker_man cresist_free_worker_woman security_man_cres security_woman_cres	15	80	
	woman_medic_cres security_man_cres security_woman_cres	15	80	
	cresist_soldier_woman security_man_cres security_woman_cres security_woman_cres	10	100	
	security_woman_cres man_worker_cresist woman_lowskills_worker_cresist man_worker_cresist woman_worker_cresist	10	100	
	security_man_cres security_woman_cres security_man_cres security_woman_cres	10	100	
#end				
				
#monsterdrop_ComAndAnarchy1				
TechLevel	ContentIds	Weight	Points	
	realware_milita_man realware_milita_woman security_man_rw	60	30	
	man_medic_rw realware_milita_man realware_milita_woman	60	30	
	realware_milita_man realware_milita_woman security_man_rw security_woman_rw	60	30	
	realware_warrobot realware_milita_man realware_milita_woman realware_milita_woman	30	40	
	realware_milita_man realware_milita_woman man_medic_rw security_man_rw security_woman_rw	30	40	
	heavy_security_man_rw heavy_security_woman_rw mercury_force_woman	30	40	
	realware_warrobot heavy_security_woman_rw security_man_rw	10	60	
	realware_elite_man security_man_rw security_woman_rw security_woman_rw	10	60	
#end				
				
#monsterdrop_ComAndAnarchy2				
TechLevel	ContentIds	Weight	Points	
	possesed_elite_azt_man possesed_elite_azt_woman possesed_azt_man possesed_azt_woman	60	20	
	venus_eagle_knight possesed_centaur possesed_centaur	60	20	
	possesed_BigArm venus_custodian venus_custodian	60	20	
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	30	30	
	venus_jaguar_knight venus_demon_cat venus_demon_cat possesed_centaur	30	30	
	possesed_BlobMan possesed_BlobMan possesed_BlobMan possesed_BlobMan	30	30	
	venus_jaguar_knight venus_jaguar_knight venus_jaguar_knight	20	30	
	venus_demon_warrior venus_eagle_knight venus_eagle_knight	20	30	
	venus_taskmaster venus_custodian venus_taskmaster venus_custodian	20	30	
	venus_demon_warrior venus_demon_warrior venus_demon_warrior	10	40	
#end				
				
#itemdrop_redbarreldrop				
TechLevel	ContentIds	Weight	Points	
	gas_ammo	20	20	
#end				
				
#itemdrop_bookcaseContainer				
TechLevel	ContentIds	Weight	Points	
	sigs_kosmos	4	20	
	rags	8	5	
	vodka	4	10	
	tape	4	10	
	anulator	2	40	
	human_skin	4	5	
	plastic	8	5	
	glass	4	5	
	rubber	8	5	
	ledgerBook	32	10	
	prototype_schematics	16	20	
	memory_software	8	20	
	entertainment_software	8	20	
	expert_disk	16	20	
	gunbang_magazine	32	20	
#end				
				
#itemdrop_CnA_skullStorage				
TechLevel	ContentIds	Weight	Points	
	quest_goldenSkull	100	1	
#end				
				
#itemdrop_industryContainer				
TechLevel	ContentIds	Weight	Points	
	tool_container	20	20	
	robot_parts_container	20	20	
	engineering_parts_container	20	20	
	welding_machine_device	20	20	
	mining_equipment	10	40	
	construction_equipment	10	40	
	armor_shards	10	10	
	weapon_shards	10	10	
	coarse_gears	10	10	
#end				
				
#itemdrop_scienceContainer				
TechLevel	ContentIds	Weight	Points	
	scientist_clothing_container	10	40	
	electrical_parts_container	10	40	
	medical_equipment	20	20	
	scientific_equipment	20	20	
	chemical_analyzer	20	20	
	quasiresearch_disk	20	20	
	research_disk	20	20	
	quasisamples	20	20	
	biomass_tank	20	20	
	medical_components	20	20	
#end				
				
#itemdrop_watertankdrop				
TechLevel	ContentIds	Weight	Points	
	water	20	20	
#end				
				
#itemdrop_toxicbarreldrop				
TechLevel	ContentIds	Weight	Points	
	toxic_ammo	20	20	
#end				
				
#itemdrop_toiletdrop				
TechLevel	ContentIds	Weight	Points	
	water	80	20	
	human_poop	20	20	
#end				
				
#itemdrop_bloodsinkdrop				
TechLevel	ContentIds	Weight	Points	
	bloodBag	20	20	
#end				
				
#itemdrop_poppycontainer				
TechLevel	ContentIds	Weight	Points	
	poppy_box	20	20	
#end				
				
#itemdrop_test1				
TechLevel	ContentIds	Weight	Points	
	army_knife	20	42	
	glass_knife	10	28	
	corp_bone	20	42	
	machete	20	42	
	metal_pipe	20	42	
	scarp_club	20	42	
	pmc_club	20	42	
	corp_hand	20	28	
	corp_leg	20	28	
	knuckles	20	28	
	franch_baton	20	56	
	hatchet	20	28	
	choppa_axe	20	28	
	spec_hatchet	20	56	
	bandit_axe	20	42	
	army_pistol	10	70	
	army_pistol_2	10	70	
	pmc_pistol	10	70	
	pmc_pistol_2	10	70	
	spec_pistol	10	70	
	dark_pistol	10	70	
	dark_pistol_2	10	70	
	petrov_pistol	10	70	
	petrov_pistol_2	10	70	
	petrov_pistol_3	10	70	
	civres_pistol	10	70	
	pmc_shotgun	10	70	
	desert_shotgun	10	70	
	bandit_shotgun	10	70	
	pmc_smg	10	70	
	bandit_smg_2	10	70	
	desert_assault	10	70	
	desert_marksman	10	70	
	pistol_basic_ammo	30	21	
	shotgun_bullet_ammo	30	21	
	shotgun_shrapnel_ammo	30	21	
	heavy_basic_ammo	30	21	
	bandage	30	14	
	medpack	30	14	
	splint	30	14	
	antiradin	30	14	
	antibiotics	30	14	
	sorbent	30	14	
	sigs_kosmos	30	14	
	antidote	30	14	
	painkillers	30	14	
	beer	30	14	
	wiskey	30	14	
	rottenMeat	30	14	
	plaster	30	14	
	military_kit	30	14	
	blueSoda	30	14	
	cannedMeat	30	14	
	cannedVeg	30	14	
	chocolateBar	30	14	
	packedGoodRation	30	14	
	packedRation	30	14	
	water	30	14	
	burgerMeat	30	14	
	burgerVeg	30	14	
	synthChicken	30	14	
	synthBeef	30	14	
	rocketCandy	5	56	
	caviar	5	56	
	small_backpack	10	42	
	medium_backpack	5	42	
	pmc_vest	20	42	
	cevlar_vest	20	42	
	bandit_armor	10	28	
	bandit_helmet	10	28	
	bandit_pants	10	28	
	bandit_boots	10	28	
	power_armor	10	42	
	power_helmet	10	42	
	power_pants	10	42	
	power_boots	10	42	
	pmc_armor	10	42	
	pmc_helmet	10	42	
	pmc_pants	10	42	
	pmc_boots	10	42	
	security_armor	10	42	
	franch_helmet	10	42	
	franch_pants	10	42	
	franch_boots	10	42	
	employee_vest	10	28	
	employee_hat	10	28	
	employee_pants	10	28	
	yellow_pants	10	28	
	blue_boots	10	28	
	common_boots	10	28	
	armor_shards	25	14	
	weapon_shards	25	14	
	tape	10	28	
	frag_grenade	10	21	
	frag_mine	10	14	
	packaged_recreational_robot	5	112	
	plastic	30	3	
	powder	30	2	
	glass	30	6	
	metal_tread	30	9	
	wire	40	12	
	rubber	30	3	
	tread	30	6	
	explosives	30	14	
	acid	30	9	
	tin	30	6	
	glassBottle	30	9	
	ledgerBook	10	28	
	spring	30	7	
	regular_food_container	15	56	
